Sample in Buffer,Sample in Window,TRIGGER,example_top/Read_Fifo_wusdw_o[7:0],example_top/CountRead_tem[31:0],example_top/CountWrite_tem[31:0],example_top/Read_Fifo_rusdw_o[10:0],example_top/app_wdf_data[127:0],example_top/app_addr[28:0],example_top/Write_Fifo_Out[127:0],example_top/state1[3:0],example_top/Write_Fifo_rusdw_o[7:0],example_top/state[3:0],example_top/app_rd_data[127:0],example_top/app_addr_begin[28:0],example_top/Write_Fifo_datain[7:0],example_top/ddr3_wr_data[127:0],example_top/app_rd_data_valid,u_ila_0_app_rdy,example_top/ddr3_allwr_flag,example_top/ddr3_oneperiod_flag,example_top/ddr3_onewr_flag,example_top/ddr3read_en,example_top/ddr3write_en,example_top/OnePeriod_flag,example_top/Period_flag,example_top/ProsessIn,example_top/ProsessIn1,example_top/Read_Fifo_empty,example_top/Read_Fifo_full,example_top/Read_Fifo_in_en1,example_top/Read_Fifo_rden,example_top/Read_Fifo_rst,example_top/Read_Fifo_wren,example_top/Read_Over_flag,example_top/StartSample1,example_top/Write_Fifo_empty,example_top/Write_Fifo_full,example_top/WriteSign
381,381,0,0,6f000000,ad024693,2,040208020c021002140218021e46936f,00020002,07d007e007f000000000000000020000,0,7c,0,000000012349b7800780079007a007b0,00fc00fe,d0,00000000100780079007a007b007c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,382,0,0,70000000,af024693,2,240228022c023002340238023e469370,00022002,08500860087000000000000000020000,0,84,0,000000012349b8000800081008200830,010c010e,50,00000000100800081008200830084008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,383,0,0,71000000,b2024693,1,440248024c025002540258025e469371,00024002,08d008e008f000000000000000020000,0,8c,0,000000012349b8800880089008a008b0,011c011e,d0,00000000100880089008a008b008c008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,384,0,0,71000000,b4024693,1,440248024c025002540258025e469371,00024002,08d008e008f000000000000000020000,0,8c,0,000000012349b8800880089008a008b0,011c011e,d0,00000000100880089008a008b008c008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,385,0,0,71000000,b7024693,1,440248024c025002540258025e469371,00024002,08d008e008f000000000000000020000,0,8c,0,000000012349b8800880089008a008b0,011c011e,d0,00000000100880089008a008b008c008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,386,0,0,71000000,b9024693,1,440248024c025002540258025e469371,00024002,08d008e008f000000000000000020000,0,8c,0,000000012349b8800880089008a008b0,011c011e,d0,00000000100880089008a008b008c008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,387,0,0,71000000,bc024693,2,440248024c025002540258025e469371,00024002,08d008e008f000000000000000020000,0,8c,0,000000012349b8800880089008a008b0,011c011e,d0,00000000100880089008a008b008c008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,388,0,0,72000000,be024693,2,640268026c027002740278027e469372,00026002,09500960097000000000000000020000,0,94,0,000000012349b9000900091009200930,012c012e,50,00000000100900091009200930094009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,389,0,0,73000000,c1024693,1,840288028c029002940298029e469373,00028002,09d009e009f000000000000000020000,0,9c,0,000000012349b9800980099009a009b0,013c013e,d0,00000000100980099009a009b009c009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,390,0,0,73000000,c3024693,1,840288028c029002940298029e469373,00028002,09d009e009f000000000000000020000,0,9c,0,000000012349b9800980099009a009b0,013c013e,d0,00000000100980099009a009b009c009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
