Sample in Buffer,Sample in Window,TRIGGER,example_top/Read_Fifo_wusdw_o[7:0],example_top/CountRead_tem[31:0],example_top/CountWrite_tem[31:0],example_top/Read_Fifo_rusdw_o[10:0],example_top/app_wdf_data[127:0],example_top/app_addr[28:0],example_top/Write_Fifo_Out[127:0],example_top/state1[3:0],example_top/Write_Fifo_rusdw_o[7:0],example_top/state[3:0],example_top/app_rd_data[127:0],example_top/app_addr_begin[28:0],example_top/Write_Fifo_datain[7:0],example_top/ddr3_wr_data[127:0],example_top/app_rd_data_valid,u_ila_0_app_rdy,example_top/ddr3_allwr_flag,example_top/ddr3_oneperiod_flag,example_top/ddr3_onewr_flag,example_top/ddr3read_en,example_top/ddr3write_en,example_top/OnePeriod_flag,example_top/Period_flag,example_top/ProsessIn,example_top/ProsessIn1,example_top/Read_Fifo_empty,example_top/Read_Fifo_full,example_top/Read_Fifo_in_en1,example_top/Read_Fifo_rden,example_top/Read_Fifo_rst,example_top/Read_Fifo_wren,example_top/Read_Over_flag,example_top/StartSample1,example_top/Write_Fifo_empty,example_top/Write_Fifo_full,example_top/WriteSign
0,0,0,0,f8000000,f4024692,2,240328032c033003340338033e4692f8,00032003,0c500c600c7000000000000000020000,0,c4,0,0000000123497c000c000c100c200c30,018c018e,50,00000000100c000c100c200c300c400c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,f9000000,f7024692,2,440348034c035003540358035e4692f9,00034003,0cd00ce00cf000000000000000020000,0,cc,0,0000000123497c800c800c900ca00cb0,019c019e,d0,00000000100c800c900ca00cb00cc00c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,fa000000,f9024692,1,640368036c037003740378037e4692fa,00036003,0d500d600d7000000000000000020000,0,d4,0,0000000123497d000d000d100d200d30,01ac01ae,50,00000000100d000d100d200d300d400d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,fa000000,fc024692,1,640368036c037003740378037e4692fa,00036003,0d500d600d7000000000000000020000,0,d4,0,0000000123497d000d000d100d200d30,01ac01ae,50,00000000100d000d100d200d300d400d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,fa000000,fe024692,1,640368036c037003740378037e4692fa,00036003,0d500d600d7000000000000000020000,0,d4,0,0000000123497d000d000d100d200d30,01ac01ae,50,00000000100d000d100d200d300d400d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,fa000000,01024692,1,640368036c037003740378037e4692fa,00036003,0d500d600d7000000000000000020000,0,d4,0,0000000123497d000d000d100d200d30,01ac01ae,50,00000000100d000d100d200d300d400d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,fa000000,03024692,2,640368036c037003740378037e4692fa,00036003,0d500d600d7000000000000000020000,0,d4,0,0000000123497d000d000d100d200d30,01ac01ae,50,00000000100d000d100d200d300d400d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,fb000000,06024692,2,840388038c039003940398039e4692fb,00038003,0dd00de00df000000000000000020000,0,dc,0,0000000123497d800d800d900da00db0,01bc01be,d0,00000000100d800d900da00db00dc00d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,0,fc000000,08024692,1,a403a803ac03b003b403b803be4692fc,0003a003,0e500e600e7000000000000000020000,0,e4,0,0000000123497e000e000e100e200e30,01cc01ce,50,00000000100e000e100e200e300e400e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0,fc000000,0b024692,1,a403a803ac03b003b403b803be4692fc,0003a003,0e500e600e7000000000000000020000,0,e4,0,0000000123497e000e000e100e200e30,01cc01ce,50,00000000100e000e100e200e300e400e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,0,fc000000,0d024692,1,a403a803ac03b003b403b803be4692fc,0003a003,0e500e600e7000000000000000020000,0,e4,0,0000000123497e000e000e100e200e30,01cc01ce,50,00000000100e000e100e200e300e400e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0,0,fc000000,10024692,1,a403a803ac03b003b403b803be4692fc,0003a003,0e500e600e7000000000000000020000,0,e4,0,0000000123497e000e000e100e200e30,01cc01ce,50,00000000100e000e100e200e300e400e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,0,0,fc000000,12024692,1,a403a803ac03b003b403b803be4692fc,0003a003,0e500e600e7000000000000000020000,0,e4,0,0000000123497e000e000e100e200e30,01cc01ce,50,00000000100e000e100e200e300e400e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,0,0,fc000000,15024692,2,a403a803ac03b003b403b803be4692fc,0003a003,0e500e600e7000000000000000020000,0,e4,0,0000000123497e000e000e100e200e30,01cc01ce,50,00000000100e000e100e200e300e400e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,0,0,fd000000,17024692,2,c403c803cc03d003d403d803de4692fd,0003c003,0ed00ee00ef000000000000000020000,0,ec,0,0000000123497e800e800e900ea00eb0,01dc01de,d0,00000000100e800e900ea00eb00ec00e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,0,0,fe000000,1a024692,1,e403e803ec03f003f403f803fe4692fe,0003e003,0f500f600f7000000000000000020000,0,f4,0,0000000123497f000f000f100f200f30,01ec01ee,50,00000000100f000f100f200f300f400f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,0,0,fe000000,1c024692,1,e403e803ec03f003f403f803fe4692fe,0003e003,0f500f600f7000000000000000020000,0,f4,0,0000000123497f000f000f100f200f30,01ec01ee,50,00000000100f000f100f200f300f400f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,0,0,fe000000,1f024692,1,e403e803ec03f003f403f803fe4692fe,0003e003,0f500f600f7000000000000000020000,0,f4,0,0000000123497f000f000f100f200f30,01ec01ee,50,00000000100f000f100f200f300f400f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,0,0,fe000000,21024692,1,e403e803ec03f003f403f803fe4692fe,0003e003,0f500f600f7000000000000000020000,0,f4,0,0000000123497f000f000f100f200f30,01ec01ee,50,00000000100f000f100f200f300f400f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,0,0,fe000000,24024692,2,e403e803ec03f003f403f803fe4692fe,0003e003,0f500f600f7000000000000000020000,0,f4,0,0000000123497f000f000f100f200f30,01ec01ee,50,00000000100f000f100f200f300f400f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,0,0,ff000000,26024692,2,040008000c001000140018001e4692ff,00000000,0fd00fe00ff000000000000000020000,0,fc,0,0000000123497f800f800f900fa00fb0,01fc01fe,d0,00000000100f800f900fa00fb00fc00f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,0,0,00000000,29024693,1,240028002c003000340038003e469300,00002000,00500060007000000000000000020000,0,04,0,00000001234980000000001000200030,000c000e,50,00000000100000001000200030004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,0,0,00000000,2b024693,1,240028002c003000340038003e469300,00002000,00500060007000000000000000020000,0,04,0,00000001234980000000001000200030,000c000e,50,00000000100000001000200030004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,0,0,00000000,2e024693,1,240028002c003000340038003e469300,00002000,00500060007000000000000000020000,0,04,0,00000001234980000000001000200030,000c000e,50,00000000100000001000200030004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,0,0,00000000,30024693,1,240028002c003000340038003e469300,00002000,00500060007000000000000000020000,0,04,0,00000001234980000000001000200030,000c000e,50,00000000100000001000200030004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,0,0,00000000,33024693,2,240028002c003000340038003e469300,00002000,00500060007000000000000000020000,0,04,0,00000001234980000000001000200030,000c000e,50,00000000100000001000200030004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,0,0,01000000,35024693,2,440048004c005000540058005e469301,00004000,00d000e000f000000000000000020000,0,0c,0,00000001234980800080009000a000b0,001c001e,d0,00000000100080009000a000b000c000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,0,0,01000000,38024693,1,440048004c005000540058005e469301,00004000,00d000e000f000000000000000020000,0,0c,0,00000001234980800080009000a000b0,001c001e,d0,00000000100080009000a000b000c000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,0,0,01000000,3a024693,1,440048004c005000540058005e469301,00004000,00d000e000f000000000000000020000,0,0c,0,00000001234980800080009000a000b0,001c001e,d0,00000000100080009000a000b000c000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,0,0,01000000,3d024693,2,440048004c005000540058005e469301,00004000,00d000e000f000000000000000020000,0,0c,0,00000001234980800080009000a000b0,001c001e,d0,00000000100080009000a000b000c000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,0,0,01000000,3f024693,2,440048004c005000540058005e469301,00004000,00d000e000f000000000000000020000,0,0c,0,00000001234980800080009000a000b0,001c001e,d0,00000000100080009000a000b000c000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,0,0,01000000,42024693,2,440048004c005000540058005e469301,00004000,00d000e000f000000000000000020000,0,0c,0,00000001234980800080009000a000b0,001c001e,d0,00000000100080009000a000b000c000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,0,0,01000000,44024693,3,440048004c005000540058005e469301,00004000,00d000e000f000000000000000020000,0,0c,0,00000001234980800080009000a000b0,001c001e,d0,00000000100080009000a000b000c000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,0,0,01000000,47024693,3,440048004c005000540058005e469301,00004000,00d000e000f000000000000000020000,0,0c,0,00000001234980800080009000a000b0,001c001e,d0,00000000100080009000a000b000c000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,0,0,01000000,49024693,3,440048004c005000540058005e469301,00004000,00d000e000f000000000000000020000,0,0c,0,00000001234980800080009000a000b0,001c001e,d0,00000000100080009000a000b000c000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,0,0,01000000,4c024693,4,440048004c005000540058005e469301,00004000,00d000e000f000000000000000020000,0,0c,0,00000001234980800080009000a000b0,001c001e,d0,00000000100080009000a000b000c000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,0,0,01000000,4e024693,4,440048004c005000540058005e469301,00004000,00d000e000f000000000000000020000,0,0c,0,00000001234980800080009000a000b0,001c001e,d0,00000000100080009000a000b000c000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,0,0,02000000,51024693,4,640068006c007000740078007e469302,00006000,01500160017000000000000000020000,0,14,0,00000001234981000100011001200130,002c002e,50,00000000100100011001200130014001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,0,0,03000000,53024693,4,840088008c009000940098009e469303,00008000,01d001e001f000000000000000020000,0,1c,0,00000001234981800180019001a001b0,003c003e,d0,00000000100180019001a001b001c001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,0,0,03000000,56024693,3,840088008c009000940098009e469303,00008000,01d001e001f000000000000000020000,0,1c,0,00000001234981800180019001a001b0,003c003e,d0,00000000100180019001a001b001c001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,0,0,03000000,58024693,3,840088008c009000940098009e469303,00008000,01d001e001f000000000000000020000,0,1c,0,00000001234981800180019001a001b0,003c003e,d0,00000000100180019001a001b001c001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,0,0,03000000,5b024693,4,840088008c009000940098009e469303,00008000,01d001e001f000000000000000020000,0,1c,0,00000001234981800180019001a001b0,003c003e,d0,00000000100180019001a001b001c001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,0,0,04000000,5d024693,4,a400a800ac00b000b400b800be469304,0000a000,02500260027000000000000000020000,0,24,0,00000001234982000200021002200230,004c004e,50,00000000100200021002200230024002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,0,0,05000000,60024693,3,c400c800cc00d000d400d800de469305,0000c000,02d002e002f000000000000000020000,0,2c,0,00000001234982800280029002a002b0,005c005e,d0,00000000100280029002a002b002c002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,0,0,05000000,62024693,2,c400c800cc00d000d400d800de469305,0000c000,02d002e002f000000000000000020000,0,2c,0,00000001234982800280029002a002b0,005c005e,d0,00000000100280029002a002b002c002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,0,0,05000000,65024693,3,c400c800cc00d000d400d800de469305,0000c000,02d002e002f000000000000000020000,0,2c,0,00000001234982800280029002a002b0,005c005e,d0,00000000100280029002a002b002c002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,0,0,06000000,67024693,3,e400e800ec00f000f400f800fe469306,0000e000,03500360037000000000000000020000,0,34,0,00000001234983000300031003200330,006c006e,50,00000000100300031003200330034003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,0,0,07000000,6a024693,2,040108010c011001140118011e469307,00010001,03d003e003f000000000000000020000,0,3c,0,00000001234983800380039003a003b0,007c007e,d0,00000000100380039003a003b003c003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,0,0,08000000,6c024693,2,240128012c013001340138013e469308,00012001,04500460047000000000000000020000,0,44,0,00000001234984000400041004200430,008c008e,50,00000000100400041004200430044004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,0,0,09000000,6f024693,1,440148014c015001540158015e469309,00014001,04d004e004f000000000000000020000,0,4c,0,00000001234984800480049004a004b0,009c009e,d0,00000000100480049004a004b004c004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,0,0,09000000,71024693,0,440148014c015001540158015e469309,00014001,04d004e004f000000000000000020000,0,4c,0,00000001234984800480049004a004b0,009c009e,d0,00000000100480049004a004b004c004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,0,0,09000000,74024693,1,440148014c015001540158015e469309,00014001,04d004e004f000000000000000020000,0,4c,0,00000001234984800480049004a004b0,009c009e,d0,00000000100480049004a004b004c004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,0,0,09000000,76024693,1,440148014c015001540158015e469309,00014001,04d004e004f000000000000000020000,0,4c,0,00000001234984800480049004a004b0,009c009e,d0,00000000100480049004a004b004c004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,0,0,09000000,79024693,1,440148014c015001540158015e469309,00014001,04d004e004f000000000000000020000,0,4c,0,00000001234984800480049004a004b0,009c009e,d0,00000000100480049004a004b004c004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,0,0,09000000,7b024693,2,440148014c015001540158015e469309,00014001,04d004e004f000000000000000020000,0,4c,0,00000001234984800480049004a004b0,009c009e,d0,00000000100480049004a004b004c004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,0,0,0a000000,7e024693,2,640168016c017001740178017e46930a,00016001,05500560057000000000000000020000,0,54,0,00000001234985000500051005200530,00ac00ae,50,00000000100500051005200530054005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,0,0,0b000000,80024693,1,840188018c019001940198019e46930b,00018001,05d005e005f000000000000000020000,0,5c,0,00000001234985800580059005a005b0,00bc00be,d0,00000000100580059005a005b005c005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,0,0,0b000000,83024693,1,840188018c019001940198019e46930b,00018001,05d005e005f000000000000000020000,0,5c,0,00000001234985800580059005a005b0,00bc00be,d0,00000000100580059005a005b005c005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,0,0,0b000000,85024693,1,840188018c019001940198019e46930b,00018001,05d005e005f000000000000000020000,0,5c,0,00000001234985800580059005a005b0,00bc00be,d0,00000000100580059005a005b005c005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,0,0,0b000000,88024693,1,840188018c019001940198019e46930b,00018001,05d005e005f000000000000000020000,0,5c,0,00000001234985800580059005a005b0,00bc00be,d0,00000000100580059005a005b005c005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,0,0,0b000000,8a024693,1,840188018c019001940198019e46930b,00018001,05d005e005f000000000000000020000,0,5c,0,00000001234985800580059005a005b0,00bc00be,d0,00000000100580059005a005b005c005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,0,0,0b000000,8d024693,2,840188018c019001940198019e46930b,00018001,05d005e005f000000000000000020000,0,5c,0,00000001234985800580059005a005b0,00bc00be,d0,00000000100580059005a005b005c005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,0,0,0c000000,8f024693,2,a401a801ac01b001b401b801be46930c,0001a001,06500660067000000000000000020000,0,64,0,00000001234986000600061006200630,00cc00ce,50,00000000100600061006200630064006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,0,0,0d000000,92024693,1,c401c801cc01d001d401d801de46930d,0001c001,06d006e006f000000000000000020000,0,6c,0,00000001234986800680069006a006b0,00dc00de,d0,00000000100680069006a006b006c006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,0,0,0d000000,94024693,1,c401c801cc01d001d401d801de46930d,0001c001,06d006e006f000000000000000020000,0,6c,0,00000001234986800680069006a006b0,00dc00de,d0,00000000100680069006a006b006c006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,0,0,0d000000,97024693,1,c401c801cc01d001d401d801de46930d,0001c001,06d006e006f000000000000000020000,0,6c,0,00000001234986800680069006a006b0,00dc00de,d0,00000000100680069006a006b006c006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,0,0,0d000000,99024693,1,c401c801cc01d001d401d801de46930d,0001c001,06d006e006f000000000000000020000,0,6c,0,00000001234986800680069006a006b0,00dc00de,d0,00000000100680069006a006b006c006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,0,0,0d000000,9c024693,2,c401c801cc01d001d401d801de46930d,0001c001,06d006e006f000000000000000020000,0,6c,0,00000001234986800680069006a006b0,00dc00de,d0,00000000100680069006a006b006c006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,0,0,0e000000,9e024693,2,e401e801ec01f001f401f801fe46930e,0001e001,07500760077000000000000000020000,0,74,0,00000001234987000700071007200730,00ec00ee,50,00000000100700071007200730074007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,0,0,0f000000,a1024693,1,040208020c021002140218021e46930f,00020002,07d007e007f000000000000000020000,0,7c,0,00000001234987800780079007a007b0,00fc00fe,d0,00000000100780079007a007b007c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,0,0,0f000000,a3024693,1,040208020c021002140218021e46930f,00020002,07d007e007f000000000000000020000,0,7c,0,00000001234987800780079007a007b0,00fc00fe,d0,00000000100780079007a007b007c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,0,0,0f000000,a6024693,1,040208020c021002140218021e46930f,00020002,07d007e007f000000000000000020000,0,7c,0,00000001234987800780079007a007b0,00fc00fe,d0,00000000100780079007a007b007c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,0,0,0f000000,a8024693,1,040208020c021002140218021e46930f,00020002,07d007e007f000000000000000020000,0,7c,0,00000001234987800780079007a007b0,00fc00fe,d0,00000000100780079007a007b007c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,0,0,0f000000,ab024693,2,040208020c021002140218021e46930f,00020002,07d007e007f000000000000000020000,0,7c,0,00000001234987800780079007a007b0,00fc00fe,d0,00000000100780079007a007b007c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,0,0,10000000,ad024693,2,240228022c023002340238023e469310,00022002,08500860087000000000000000020000,0,84,0,00000001234988000800081008200830,010c010e,50,00000000100800081008200830084008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,0,0,11000000,b0024693,1,440248024c025002540258025e469311,00024002,08d008e008f000000000000000020000,0,8c,0,00000001234988800880089008a008b0,011c011e,d0,00000000100880089008a008b008c008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,0,0,11000000,b2024693,0,440248024c025002540258025e469311,00024002,08d008e008f000000000000000020000,0,8c,0,00000001234988800880089008a008b0,011c011e,d0,00000000100880089008a008b008c008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,0,0,11000000,b5024693,1,440248024c025002540258025e469311,00024002,08d008e008f000000000000000020000,0,8c,0,00000001234988800880089008a008b0,011c011e,d0,00000000100880089008a008b008c008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,0,0,11000000,b7024693,1,440248024c025002540258025e469311,00024002,08d008e008f000000000000000020000,0,8c,0,00000001234988800880089008a008b0,011c011e,d0,00000000100880089008a008b008c008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,0,0,11000000,ba024693,1,440248024c025002540258025e469311,00024002,08d008e008f000000000000000020000,0,8c,0,00000001234988800880089008a008b0,011c011e,d0,00000000100880089008a008b008c008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,0,0,11000000,bc024693,2,440248024c025002540258025e469311,00024002,08d008e008f000000000000000020000,0,8c,0,00000001234988800880089008a008b0,011c011e,d0,00000000100880089008a008b008c008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,0,0,12000000,bf024693,2,640268026c027002740278027e469312,00026002,09500960097000000000000000020000,0,94,0,00000001234989000900091009200930,012c012e,50,00000000100900091009200930094009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,0,0,13000000,c1024693,1,840288028c029002940298029e469313,00028002,09d009e009f000000000000000020000,0,9c,0,00000001234989800980099009a009b0,013c013e,d0,00000000100980099009a009b009c009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,0,0,13000000,c4024693,1,840288028c029002940298029e469313,00028002,09d009e009f000000000000000020000,0,9c,0,00000001234989800980099009a009b0,013c013e,d0,00000000100980099009a009b009c009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,0,0,13000000,c6024693,1,840288028c029002940298029e469313,00028002,09d009e009f000000000000000020000,0,9c,0,00000001234989800980099009a009b0,013c013e,d0,00000000100980099009a009b009c009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,0,0,13000000,c9024693,1,840288028c029002940298029e469313,00028002,09d009e009f000000000000000020000,0,9c,0,00000001234989800980099009a009b0,013c013e,d0,00000000100980099009a009b009c009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,0,0,13000000,cb024693,2,840288028c029002940298029e469313,00028002,09d009e009f000000000000000020000,0,9c,0,00000001234989800980099009a009b0,013c013e,d0,00000000100980099009a009b009c009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,0,0,14000000,ce024693,2,a402a802ac02b002b402b802be469314,0002a002,0a500a600a7000000000000000020000,0,a4,0,0000000123498a000a000a100a200a30,014c014e,50,00000000100a000a100a200a300a400a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,0,0,15000000,d0024693,1,c402c802cc02d002d402d802de469315,0002c002,0ad00ae00af000000000000000020000,0,ac,0,0000000123498a800a800a900aa00ab0,015c015e,d0,00000000100a800a900aa00ab00ac00a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,0,0,15000000,d3024693,1,c402c802cc02d002d402d802de469315,0002c002,0ad00ae00af000000000000000020000,0,ac,0,0000000123498a800a800a900aa00ab0,015c015e,d0,00000000100a800a900aa00ab00ac00a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,0,0,15000000,d5024693,1,c402c802cc02d002d402d802de469315,0002c002,0ad00ae00af000000000000000020000,0,ac,0,0000000123498a800a800a900aa00ab0,015c015e,d0,00000000100a800a900aa00ab00ac00a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,0,0,15000000,d8024693,1,c402c802cc02d002d402d802de469315,0002c002,0ad00ae00af000000000000000020000,0,ac,0,0000000123498a800a800a900aa00ab0,015c015e,d0,00000000100a800a900aa00ab00ac00a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,0,0,15000000,da024693,1,c402c802cc02d002d402d802de469315,0002c002,0ad00ae00af000000000000000020000,0,ac,0,0000000123498a800a800a900aa00ab0,015c015e,d0,00000000100a800a900aa00ab00ac00a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,0,0,15000000,dd024693,2,c402c802cc02d002d402d802de469315,0002c002,0ad00ae00af000000000000000020000,0,ac,0,0000000123498a800a800a900aa00ab0,015c015e,d0,00000000100a800a900aa00ab00ac00a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,0,0,16000000,df024693,2,e402e802ec02f002f402f802fe469316,0002e002,0b500b600b7000000000000000020000,0,b4,0,0000000123498b000b000b100b200b30,016c016e,50,00000000100b000b100b200b300b400b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
